^SAMPLE = GSM154769
39966_at	122.92965	0.007542908
40016_g_at	1130.3344	4.6753883E-4
40020_at	29.752182	0.23455656
40093_at	253.00525	0.05447042
40148_at	89.336296	0.001891613
40149_at	235.88564	0.013091803
40189_at	3867.4229	2.1886826E-4
40225_at	1053.9161	3.2150745E-4
40255_at	265.91284	0.0193035
40273_at	86.957825	0.5
40284_at	11.193006	0.62181556
40359_at	849.2996	0.0193035
40420_at	386.61026	0.0056427717
40446_at	827.28625	0.0048627853
40465_at	280.99136	0.003066659
40472_at	101.961105	0.39799362
40489_at	215.59233	0.2674626
40524_at	261.68292	0.004180312
40560_at	126.43923	0.56163913
40562_at	230.27591	3.2150745E-4
40569_at	224.16571	0.03936541
40612_at	147.31693	0.17598945
40640_at	222.19302	0.03936541
40665_at	187.3105	3.2150745E-4
40687_at	227.06229	0.03936541
40829_at	616.8936	0.06686497
40837_at	397.1017	0.03936541
40850_at	19.952642	0.9560322
41037_at	200.56387	0.003066659
41047_at	755.2603	6.7311525E-4
41113_at	136.2867	0.15052712
41160_at	661.88257	0.007542908
41220_at	3392.056	6.1249733E-4
41329_at	314.65067	0.002616942
41386_i_at	508.25455	0.023199737
41387_r_at	128.45058	0.009938955
41397_at	131.60327	0.18968731
41469_at	462.7814	0.002616942
41512_at	219.54689	0.006531954
41553_at	83.75897	0.23015076
41577_at	30.2061	0.69745255
41644_at	540.2602	0.03936541
41657_at	408.07144	0.15052712
41660_at	285.17444	9.5939636E-4
41856_at	536.9154	0.0035848618
41858_at	738.68445	0.009985447
564_at	226.86737	0.02186644
632_at	409.82004	0.014936566
635_s_at	131.34021	0.17598945
823_at	300.31564	0.0035848618
42361_g_at	57.668026	0.08642417
43427_at	224.7007	0.007542908
43511_s_at	494.562	0.0015714765
43544_at	280.98196	0.0013538599
43934_at	212.07054	0.03936541
43977_at	810.4963	0.035162866
44040_at	197.49435	0.05447042
44065_at	155.97311	0.008689165
44111_at	473.3522	0.001891613
44120_at	379.93845	0.003066659
44146_at	511.2877	0.06041932
44563_at	673.30505	3.8820505E-4
44617_at	434.63324	0.0056427717
44654_at	737.68835	0.017000496
44669_at	190.88522	0.007542908
44673_at	222.56702	0.008689165
44696_at	402.97586	5.617142E-4
44702_at	393.88974	0.0048627853
44783_s_at	461.37103	4.6753883E-4
44790_s_at	82.39819	0.0048627853
44822_s_at	126.0304	0.043967783
45288_at	493.77145	2.655983E-4
45297_at	571.7984	0.0035848618
45526_g_at	1144.2399	0.004180312
45572_s_at	2047.6458	0.0013538599
45633_at	161.64384	0.0193035
45653_at	107.54471	0.35869044
45687_at	426.3584	0.017000496
45714_at	407.02402	0.014936566
45749_at	1185.1893	0.008689165
45828_at	887.24176	0.002616942
46142_at	119.39518	0.013091803
46167_at	373.3016	0.001891613
46256_at	1097.4095	0.008529365
46270_at	511.81088	0.035162866
46323_at	585.56335	0.0013538599
46665_at	606.92017	0.0013538599
46947_at	94.64417	0.089405
47069_at	540.3945	0.0035848618
47083_at	581.4821	0.013091803
47105_at	253.11034	0.026737213
47530_at	259.4835	0.002227664
47550_at	105.87986	0.12764525
47553_at	29.045849	0.6604422
47560_at	433.02448	0.017000496
47571_at	320.63757	0.0035848618
47608_at	411.15414	0.027859688
47773_at	264.29428	0.004180312
48030_i_at	2472.6733	0.03044635
48031_r_at	242.7485	0.008689165
48106_at	371.55347	0.024710953
48117_at	313.98804	0.043967783
48531_at	476.6525	6.7311525E-4
48580_at	1254.2303	0.0035848618
49111_at	309.81573	0.0056427717
49306_at	21.860723	0.64130956
49327_at	784.7089	0.0011410713
49452_at	299.56235	0.035162866
49485_at	399.2742	0.001081109
49878_at	748.15106	2.1886826E-4
50221_at	148.10608	0.08133668
50277_at	2157.4856	0.0016022921
50314_i_at	276.99426	0.008529365
50374_at	231.76517	4.6753883E-4
50376_at	399.83475	0.04899466
50400_at	101.29744	0.035162866
50965_at	226.57755	0.14026546
51146_at	214.15842	0.013091803
51158_at	218.54034	0.027859688
51176_at	695.4908	0.002227664
51192_at	447.73645	0.017000496
51200_at	678.48267	0.0016022921
51226_at	43.196194	0.13876516
51228_at	51.606148	0.12764525
52005_at	380.29733	0.089405
52078_at	703.74304	0.0193035
52159_at	276.24088	0.05447042
52164_at	669.0782	8.046031E-4
52169_at	871.1919	0.007542908
52255_s_at	411.19437	0.003066659
52285_f_at	170.47295	2.1886826E-4
52651_at	490.31683	0.0011410713
52731_at	243.82715	0.024710953
52741_at	108.81967	0.06686497
52837_at	188.55344	0.06041932
52940_at	554.2568	0.06686497
52975_at	256.62396	0.18968731
53071_s_at	558.602	5.617142E-4
53076_at	141.0578	0.017000496
53202_at	90.398766	0.007542908
53720_at	182.97923	0.03936541
53912_at	602.51965	6.7311525E-4
53968_at	444.8183	3.8820505E-4
53987_at	297.86905	0.0048627853
53991_at	143.92128	0.18968731
54037_at	74.47138	0.008689165
54051_at	108.79726	0.007542908
54632_at	630.3011	3.8820505E-4
54970_at	734.02344	0.03936541
55065_at	394.05447	8.046031E-4
55081_at	1067.3536	2.655983E-4
55093_at	500.808	0.07383013
55583_at	393.50037	0.0032032728
55616_at	1002.75964	0.006531954
55662_at	248.59709	0.001891613
55692_at	429.30917	2.1886826E-4
55705_at	1662.083	0.001891613
56197_at	3056.0532	0.0016022921
56256_at	1692.9874	3.8820505E-4
56821_at	246.78015	0.1171605
56829_at	658.44885	0.02186644
56919_at	186.76959	0.01144737
57082_at	568.2212	0.002227664
57163_at	1342.0647	3.8820505E-4
57516_at	82.96137	0.035162866
57532_at	422.1649	0.0056427717
57539_at	225.27272	0.008689165
57540_at	114.52115	0.014936566
57588_at	494.5087	0.001891613
57703_at	102.594536	0.006531954
57715_at	401.01205	0.0011410713
57739_at	234.6119	0.004180312
58308_at	172.37793	0.004180312
58696_at	371.2791	0.06686497
58916_at	202.81905	0.01144737
58994_at	188.50812	0.0035848618
59625_at	452.76263	0.03133571
59631_at	186.43652	0.007542908
59644_at	204.88058	4.6753883E-4
59697_at	263.5699	0.04899466
59705_at	78.25988	0.002616942
48612_at	1463.452	0.001891613
48659_at	577.3987	0.009985447
48808_at	377.771	9.5939636E-4
48825_at	429.40128	0.03133571
49049_at	39.831066	0.45881575
49051_g_at	66.93788	0.18968731
49077_at	1050.4171	9.5939636E-4
49329_at	334.61505	0.01516366
49679_s_at	361.27588	9.5939636E-4
51774_s_at	1310.2795	0.0011410713
55872_at	406.94305	3.8820505E-4
56748_at	45.950523	0.17598945
58367_s_at	773.5498	0.008689165
58780_s_at	368.26144	0.0193035
58900_at	1182.4064	0.006531954
59375_at	239.74965	0.10730094
59433_at	189.4908	0.002227664
59437_at	57.479393	0.06686497
59999_at	317.86368	2.1886826E-4
60084_at	43.35372	0.13876516
60471_at	182.42088	0.0193035
60474_at	669.31946	8.046031E-4
60528_at	1372.7266	0.0016022921
60794_f_at	59.890533	0.0048627853
60815_at	30.219557	0.043967783
61297_at	108.43187	0.10730094
61732_r_at	37.96541	0.043967783
61734_at	379.70297	0.02186644
61874_at	592.4757	0.05447042
62212_at	247.96571	0.0011410713
62987_r_at	651.58905	0.08642417
63009_at	227.34895	3.8820505E-4
63305_at	235.97676	0.004180312
63825_at	204.66052	0.05447042
64064_at	918.66	0.007542908
64371_at	60.4488	0.23455656
64408_s_at	81.675026	0.05447042
64418_at	271.6542	0.0016022921
64432_at	116.89202	0.007542908
64438_at	292.99997	0.004180312
64440_at	518.7799	0.024710953
64474_g_at	259.26025	0.08133668
64486_at	990.2977	0.024710953
64488_at	239.29109	0.006531954
64883_at	514.3053	9.5939636E-4
64899_at	139.78047	0.3454724
64900_at	118.30285	0.03133571
64942_at	894.746	0.008689165
65086_at	112.8372	0.3882125
65133_i_at	93.558876	0.032015085
65438_at	40.54298	0.001891613
65472_at	86.55811	0.027859688
65493_at	111.38001	0.007542908
65517_at	489.23367	0.09572321
65521_at	554.45337	0.01144737
65585_at	156.77872	0.06257671
65588_at	345.13776	0.013091803
65591_at	774.5472	0.027859688
65630_at	203.51228	0.001891613
65635_at	538.9832	9.5939636E-4
65718_at	411.05695	6.031394E-4
65770_at	326.82425	0.08133668
65884_at	257.4557	0.009985447
66053_at	8.537377	0.4793803
71933_at	723.76135	0.014936566
74694_s_at	343.35382	4.6753883E-4
76897_s_at	45.185074	0.03133571
79005_at	430.94748	0.017000496
81737_at	9.75619	0.837065
77508_r_at	511.433	0.089405
78047_s_at	795.7262	0.013091803
78330_at	103.63182	0.039146125
78383_at	389.92776	0.009985447
78495_at	257.47226	0.06041932
81811_at	112.69562	0.035162866
87100_at	32.30442	0.69745255
89476_r_at	173.4804	0.08133668
89948_at	195.17383	0.0193035
89977_at	165.28943	0.03936541
90265_at	327.55722	0.17598945
90610_at	83.56964	0.17598945
91580_at	93.9355	0.17598945
91617_at	242.69434	0.013091803
91682_at	275.35342	0.06686497
91684_g_at	270.38037	0.035162866
91703_at	153.45522	0.17598945
91816_f_at	216.95258	9.4360113E-4
91826_at	503.6879	0.009985447
91920_at	287.51923	0.1171605
91952_at	147.26825	0.28503042
200593_s_at	1691.8029	7.324219E-4
200594_x_at	3983.8535	2.4414062E-4
200595_s_at	3284.4373	2.4414062E-4
200596_s_at	1632.1925	7.324219E-4
200597_at	1111.5522	2.4414062E-4
200598_s_at	1196.3374	2.4414062E-4
200599_s_at	3147.847	9.765625E-4
200600_at	4196.4346	2.4414062E-4
200601_at	2014.205	0.0012207031
200602_at	2413.0547	2.4414062E-4
200603_at	3604.3706	2.4414062E-4
200604_s_at	1600.8428	2.4414062E-4
200605_s_at	3554.417	2.4414062E-4
200606_at	8875.706	0.001953125
200607_s_at	770.7196	0.0029296875
200608_s_at	1271.2097	2.4414062E-4
200609_s_at	3058.409	7.324219E-4
200610_s_at	7024.4487	7.324219E-4
